orkgName#orkgId 
datePublished#P186072
title#P184072
author#P186069
description#P14
citation#P45087
funding#P49051
keywords#P186076
Producer#P45077
measurementMethod#P188083
contributor#P49016
dateCreated#P186079
identifier#P186081
